date,Central Blackpool,Churchtown,Common Edge,Hawes Side,Hoohill,Little Bispham & Anchorsholme,Little Layton & Little Carleton,Little Marton & Marton Moss Side,Norbreck & Bispham,North East Centre,North Shore,Park Road,Queenstown & Layton,South Promenade & Seasiders Way,South Shore,Squires Gate,Stanley Park & Great Marton,Victoria,Warbreck & Bispham Road
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-06,112.4,62.9,0.0,0.0,66.2,51.9,49.1,0.0,0.0,0.0,66.7,92.3,86.5,0.0,49.2,0.0,39.1,0.0,36.2
2020-04-13,112.4,37.7,61.9,0.0,82.7,90.8,130.9,88.2,0.0,0.0,50.0,0.0,136.0,66.1,36.9,38.1,91.3,37.8,96.5
2020-04-20,112.4,88.0,49.5,55.7,148.9,77.8,81.8,147.0,88.1,130.9,100.0,65.9,86.5,0.0,0.0,152.3,182.7,151.2,72.4
2020-04-27,84.3,0.0,49.5,41.8,99.2,64.8,81.8,58.8,62.9,160.0,150.1,65.9,247.3,132.3,110.7,76.2,169.6,113.4,48.3
2020-05-04,42.1,0.0,49.5,69.6,82.7,77.8,65.5,44.1,50.4,101.8,116.7,0.0,160.7,165.4,61.5,38.1,169.6,75.6,36.2
2020-05-11,70.2,75.4,0.0,0.0,99.2,0.0,0.0,44.1,125.9,43.6,0.0,65.9,136.0,181.9,61.5,63.5,65.2,88.2,72.4
2020-05-18,0.0,0.0,0.0,0.0,66.2,0.0,0.0,0.0,37.8,0.0,0.0,105.5,86.5,99.2,73.8,63.5,91.3,88.2,0.0
2020-05-25,98.3,75.4,49.5,97.5,99.2,38.9,163.7,73.5,62.9,174.5,0.0,39.5,123.6,99.2,98.4,50.8,78.3,100.8,60.3
2020-06-01,0.0,37.7,49.5,55.7,0.0,38.9,0.0,73.5,0.0,0.0,0.0,39.5,86.5,0.0,61.5,0.0,0.0,88.2,48.3
2020-06-08,0.0,0.0,0.0,41.8,0.0,0.0,65.5,44.1,0.0,43.6,0.0,0.0,98.9,49.6,86.1,0.0,0.0,0.0,0.0
2020-06-15,42.1,0.0,0.0,41.8,0.0,0.0,0.0,0.0,0.0,0.0,83.4,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,0.0,0.0,0.0,0.0,0.0,0.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,0.0,0.0,0.0,0.0,0.0,38.9,49.1,0.0,50.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3
2020-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.1,0.0,0.0,0.0
2020-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.1,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,52.2,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.0
2020-09-07,0.0,37.7,0.0,0.0,0.0,0.0,0.0,44.1,37.8,0.0,0.0,0.0,0.0,49.6,36.9,0.0,0.0,75.6,0.0
2020-09-14,0.0,88.0,49.5,41.8,66.2,77.8,0.0,0.0,113.3,0.0,0.0,0.0,37.1,0.0,0.0,0.0,39.1,37.8,0.0
2020-09-21,56.2,125.7,37.1,41.8,66.2,0.0,49.1,102.9,100.7,43.6,83.4,52.7,148.4,0.0,0.0,76.2,39.1,63.0,96.5
2020-09-28,126.4,113.2,74.2,69.6,148.9,64.8,49.1,0.0,62.9,87.2,116.7,79.1,272.0,82.7,110.7,38.1,104.4,75.6,144.8
2020-10-05,84.3,201.2,235.1,139.3,248.1,116.7,98.2,249.9,113.3,203.6,133.4,145.0,383.3,231.5,159.8,114.3,443.6,151.2,132.7
2020-10-12,351.2,276.6,284.5,362.1,297.7,207.5,229.1,176.4,377.7,189.0,300.1,408.6,494.6,413.4,405.8,228.5,287.1,277.2,277.5
2020-10-19,393.3,377.2,680.4,543.2,380.4,609.5,229.1,485.0,579.1,552.6,500.2,500.9,346.2,430.0,553.3,533.2,469.7,390.6,361.9
2020-10-26,561.9,603.5,544.4,264.6,463.1,466.9,392.8,617.3,465.8,276.3,600.2,421.8,642.9,347.3,565.6,558.6,443.6,428.4,434.3
2020-11-02,1109.7,339.5,420.6,306.4,297.7,311.2,261.9,338.0,491.0,189.0,366.8,276.8,259.6,314.2,418.0,253.9,261.0,403.2,361.9
2020-11-09,379.3,276.6,445.4,208.9,148.9,402.0,294.6,308.6,251.8,174.5,350.1,421.8,420.4,264.6,405.8,228.5,417.5,403.2,229.2
2020-11-16,505.7,276.6,296.9,292.5,165.4,194.5,229.1,279.2,163.7,290.8,183.4,263.6,321.5,231.5,467.2,317.4,234.9,352.8,241.3
2020-11-23,140.5,339.5,123.7,139.3,115.8,155.6,98.2,191.1,264.4,174.5,150.1,158.2,272.0,132.3,209.0,241.2,182.7,113.4,168.9
2020-11-30,98.3,138.3,136.1,69.6,148.9,298.3,196.4,220.5,188.8,130.9,83.4,158.2,74.2,0.0,147.5,152.3,339.2,100.8,241.3
2020-12-07,351.2,125.7,136.1,139.3,115.8,142.7,114.6,147.0,125.9,130.9,233.4,224.1,210.2,115.8,110.7,50.8,143.5,63.0,120.6
2020-12-14,295.0,226.3,210.3,236.8,231.6,90.8,0.0,117.6,125.9,189.0,150.1,145.0,210.2,82.7,184.4,127.0,143.5,138.6,205.1
2020-12-21,154.5,276.6,123.7,153.2,132.3,168.6,98.2,176.4,100.7,116.3,233.4,105.5,197.8,181.9,98.4,190.4,274.0,75.6,193.0
2020-12-28,168.6,176.0,334.0,167.1,181.9,324.2,196.4,132.3,176.3,174.5,133.4,118.6,284.4,231.5,159.8,241.2,182.7,151.2,241.3
2021-01-04,449.5,251.4,346.4,167.1,314.3,415.0,147.3,440.9,226.6,174.5,250.1,408.6,469.8,99.2,454.9,266.6,561.1,201.6,386.1
2021-01-11,491.6,326.9,395.9,278.6,264.6,272.3,311.0,220.5,327.3,305.4,416.8,210.9,408.0,165.4,319.7,507.8,430.6,239.4,265.4
2021-01-18,280.9,289.2,371.1,306.4,264.6,103.7,278.2,279.2,302.2,276.3,233.4,250.5,346.2,115.8,270.5,241.2,339.2,226.8,410.2
