date,Central Blackpool,Churchtown,Common Edge,Hawes Side,Hoohill,Little Bispham & Anchorsholme,Little Layton & Little Carleton,Little Marton & Marton Moss Side,Norbreck & Bispham,North East Centre,North Shore,Park Road,Queenstown & Layton,South Promenade & Seasiders Way,South Shore,Squires Gate,Stanley Park & Great Marton,Victoria,Warbreck & Bispham Road
2020-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,52.2,0.0,0.0
2020-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.0
2020-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,39.1,0.0,0.0
2020-09-07,0.0,37.7,0.0,0.0,0.0,0.0,0.0,44.1,37.8,0.0,0.0,0.0,0.0,49.6,36.9,0.0,0.0,75.6,0.0
2020-09-14,0.0,88.0,49.5,41.8,66.2,77.8,0.0,0.0,113.3,0.0,0.0,0.0,37.1,0.0,0.0,0.0,39.1,37.8,0.0
2020-09-21,56.2,125.7,37.1,41.8,66.2,0.0,49.1,102.9,100.7,43.6,83.4,52.7,148.4,0.0,0.0,76.2,39.1,63.0,96.5
2020-09-28,126.4,113.2,86.6,69.6,148.9,51.9,49.1,0.0,62.9,87.2,116.7,79.1,272.0,82.7,110.7,38.1,104.4,75.6,144.8
2020-10-05,84.3,201.2,235.1,139.3,248.1,116.7,98.2,249.9,113.3,189.0,133.4,145.0,383.3,231.5,159.8,101.6,443.6,151.2,132.7
2020-10-12,365.2,276.6,284.5,376.0,297.7,207.5,229.1,176.4,377.7,189.0,300.1,395.5,494.6,413.4,405.8,228.5,287.1,264.6,277.5
2020-10-19,393.3,364.6,680.4,543.2,380.4,622.5,229.1,485.0,579.1,552.6,500.2,500.9,346.2,430.0,553.3,533.2,469.7,390.6,374.0
2020-10-26,561.9,603.5,544.4,264.6,463.1,466.9,392.8,617.3,465.8,290.8,600.2,421.8,642.9,347.3,565.6,558.6,443.6,428.4,434.3
2020-11-02,1109.7,352.0,420.6,306.4,297.7,311.2,261.9,338.0,491.0,189.0,383.5,276.8,259.6,330.7,405.8,266.6,261.0,390.6,361.9
2020-11-09,379.3,276.6,445.4,208.9,165.4,402.0,294.6,308.6,251.8,174.5,350.1,421.8,420.4,281.1,381.2,228.5,417.5,415.8,229.2
2020-11-16,491.6,276.6,296.9,292.5,165.4,194.5,229.1,279.2,163.7,290.8,183.4,276.8,309.1,231.5,467.2,317.4,234.9,352.8,241.3
2020-11-23,140.5,339.5,123.7,139.3,115.8,155.6,98.2,191.1,264.4,174.5,150.1,158.2,272.0,132.3,209.0,241.2,182.7,113.4,168.9
2020-11-30,98.3,138.3,136.1,69.6,148.9,298.3,196.4,220.5,188.8,130.9,83.4,158.2,86.5,0.0,147.5,152.3,339.2,100.8,241.3
2020-12-07,351.2,125.7,136.1,139.3,115.8,142.7,114.6,147.0,125.9,130.9,233.4,224.1,197.8,115.8,123.0,50.8,143.5,63.0,120.6
2020-12-14,295.0,238.9,210.3,236.8,231.6,90.8,0.0,117.6,125.9,189.0,150.1,145.0,210.2,82.7,184.4,127.0,143.5,138.6,205.1
2020-12-21,154.5,276.6,123.7,153.2,132.3,168.6,98.2,176.4,100.7,116.3,233.4,105.5,197.8,181.9,98.4,190.4,274.0,75.6,193.0
2020-12-28,168.6,176.0,334.0,167.1,181.9,324.2,196.4,132.3,176.3,174.5,133.4,118.6,284.4,231.5,159.8,241.2,182.7,151.2,241.3
2021-01-04,449.5,251.4,346.4,167.1,314.3,415.0,147.3,440.9,226.6,174.5,250.1,408.6,469.8,99.2,418.0,266.6,561.1,201.6,386.1
2021-01-11,477.6,314.3,395.9,278.6,264.6,272.3,311.0,205.8,302.2,319.9,433.5,197.7,420.4,165.4,307.4,507.8,404.5,226.8,265.4
