date,Ashton-on-Ribble & Larches,Brookfield & Holme Slack,Broughton & Wychnor,Cadley & College,Frenchwood & Fishwick,Fulwood,Grimsargh & Goosnargh,Haslam Park,Ingol,Lea & Marina,Longsands,Moor Park,Plungington & University,Preston Town Centre,Ribbleton,St George's,St Matthew's
2020-07-13,0.0,0.0,0.0,0.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0.0,0.0
2020-07-27,0.0,59.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,138.6,0.0
2020-08-03,0.0,0.0,0.0,88.9,64.3,0.0,0.0,0.0,0.0,0.0,0.0,42.0,23.9,119.2,0.0,55.4,0.0
2020-08-10,28.1,88.5,0.0,0.0,75.0,0.0,0.0,60.6,0.0,46.1,121.0,56.0,63.6,82.5,0.0,41.6,34.5
2020-08-17,0.0,29.5,0.0,0.0,0.0,0.0,0.0,75.8,0.0,61.4,0.0,98.0,71.6,0.0,29.4,0.0,0.0
2020-08-24,0.0,0.0,0.0,0.0,64.3,33.9,0.0,0.0,0.0,0.0,0.0,182.0,31.8,0.0,0.0,0.0,0.0
2020-08-31,46.9,0.0,0.0,0.0,139.3,45.2,0.0,0.0,0.0,46.1,45.4,70.0,31.8,0.0,39.1,55.4,0.0
2020-09-07,121.9,59.0,82.1,101.5,171.4,101.6,46.7,151.5,0.0,92.1,60.5,182.0,71.6,100.9,48.9,110.8,69.0
2020-09-14,112.5,98.3,68.4,266.6,150.0,146.8,0.0,75.8,66.4,199.6,136.1,392.0,135.2,45.9,107.6,194.0,126.5
2020-09-21,206.3,235.9,164.1,241.2,235.7,79.1,93.5,257.6,66.4,107.5,105.9,392.0,159.0,119.2,127.2,249.4,230.0
2020-09-28,140.7,452.2,232.5,190.4,375.0,203.3,62.3,136.4,83.0,107.5,181.5,434.1,238.5,183.4,225.0,360.3,402.6
2020-10-05,187.5,580.0,355.6,241.2,482.2,293.7,373.9,197.0,431.8,214.9,257.1,490.1,222.6,522.7,342.4,346.4,207.0
2020-10-12,328.2,393.2,519.8,406.2,589.3,293.7,186.9,242.5,182.7,322.4,423.4,476.1,254.4,568.6,410.9,471.1,368.1
2020-10-19,384.5,353.9,465.1,761.6,707.2,282.4,280.4,272.8,315.5,307.0,725.8,588.1,310.1,504.4,469.6,471.1,310.6
2020-10-26,328.2,589.9,383.0,672.8,739.3,666.4,327.2,181.8,381.9,399.1,650.2,560.1,302.1,577.8,450.1,637.4,609.6
2020-11-02,412.6,442.4,410.3,596.6,921.5,451.8,420.6,454.6,298.9,353.1,514.1,420.1,262.4,476.9,322.9,498.8,931.7
2020-11-09,356.3,285.1,369.3,634.7,482.2,463.1,218.1,318.2,381.9,475.9,604.9,406.0,270.3,449.4,362.0,277.1,1736.8
2020-11-16,196.9,393.2,410.3,495.0,300.0,350.1,171.4,287.9,83.0,383.8,272.2,686.1,278.3,229.3,156.5,415.7,816.7
2020-11-23,234.4,324.4,287.2,342.7,364.3,327.5,46.7,530.4,132.8,261.0,241.9,336.0,238.5,137.6,107.6,180.1,356.6
2020-11-30,140.7,255.6,191.5,177.7,150.0,203.3,233.7,287.9,66.4,92.1,241.9,70.0,206.7,192.6,176.1,235.6,126.5
2020-12-07,262.6,334.3,191.5,101.5,225.0,271.1,280.4,212.2,166.1,184.2,136.1,112.0,262.4,256.8,185.9,124.7,126.5
2020-12-14,281.3,314.6,205.2,228.5,160.7,203.3,155.8,136.4,282.3,245.6,408.3,210.0,206.7,229.3,146.8,69.3,299.1
2020-12-21,328.2,157.3,465.1,355.4,471.4,327.5,171.4,303.1,166.1,399.1,181.5,392.0,182.9,201.8,146.8,235.6,103.5
2020-12-28,215.7,226.1,273.6,253.9,246.4,158.1,296.0,227.3,149.5,122.8,317.6,224.0,174.9,146.7,166.3,249.4,149.5
2021-01-04,356.3,462.1,697.6,330.0,396.4,406.6,545.3,500.1,199.3,491.2,362.9,280.0,357.8,339.3,342.4,374.1,437.1
